Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.CO2 Emissions from Fossil use,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous
2159,947.7714864069952,347.6489982234182,0.0576162612064401,320.32283358971256,8786.314362976465,53.36261046169511,19.497724864331985,89.06425063050239,378.0549875895183,1438.8197123209636
2160,942.0359714441902,343.9044833717977,0.05699523917485103,319.22794426300715,8689.761457888811,52.950245790759766,19.305781321398424,88.52807266717949,378.0249837239583,1434.2897338867188
2161,936.2714806435356,340.1807083843827,0.05638102099348614,318.13305493630173,8593.208552801158,52.53788111982442,19.113837778464863,87.9918947038566,377.9929809570313,1429.7696940104167
2162,930.4786637182714,336.4772967042027,0.055773516434903185,317.0381656095963,8496.655647713505,52.12551644888907,18.9218942355313,87.4557167405337,377.9609832763672,1425.2497151692708
2163,924.6581533681739,332.7938800055347,0.05517263674148606,315.94327628289096,8400.102742625852,51.71315177795372,18.72995069259774,86.91953877721082,377.9269841512044,1420.7297261555989
2164,918.810565747204,329.1300979760064,0.054578294592453516,314.84838695618555,8303.549837538198,51.30078710701837,18.53800714966418,86.38336081388792,377.89198048909503,1416.2097269694011
2165,912.9365009185128,325.4855981058979,0.053990404072041746,313.75349762948014,8206.996932450544,50.88842243608303,18.346063606730617,85.84718285056503,377.8559824625651,1411.699717203776
2166,907.0365432969045,321.8600354843302,0.05340888063879502,312.6586083027747,8110.444027362891,50.47605776514768,18.15412006379705,85.31100488724215,377.8189875284831,1407.189717610677
2167,901.1112620791109,318.2530726020468,0.05283364109590363,311.5637189760693,8013.891122275238,50.06369309421233,17.96217652086349,84.77482692391925,377.7809829711914,1402.679707845052
2168,895.1612116622086,314.66437916051177,0.05226460356253322,310.46882964936395,7917.338217187584,49.65132842327698,17.77023297792993,84.23864896059636,377.7409845987956,1398.1697184244792
2169,889.1869320502665,311.0936318870606,0.051701687446092215,309.37394032265854,7820.78531209993,49.23896375234163,17.578289434996368,83.70247099727347,377.7009811401367,1393.6697285970051
2170,883.188949249845,307.5405143558583,0.05114481341538993,308.2790509959531,7724.232407012277,48.826599081406286,17.386345892062806,83.16629303395058,377.6589864095052,1389.1597290039062
2171,877.1677756541628,304.0047168144297,0.05059390337463909,307.1841616692477,7627.679501924624,48.41423441047094,17.194402349129245,82.6301150706277,377.61598205566406,1384.65971883138
2172,871.1239104166635,300.4859360155407,0.05004888043826131,306.0892723425423,7531.12659683697,48.00186973953559,17.002458806195683,82.0939371073048,377.5719807942708,1380.169698079427
2173,865.0578398139871,296.9838750542197,0.049509668906456125,304.99438301583695,7434.573691749316,47.58950506860024,16.810515263262122,81.55775914398191,377.5269826253255,1375.6697082519531
